Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerUnenv
,,,22.14.0,4.5.1,1.2.0,2.2.8,d3cd504
*globals*,Math.log2,supported,supported,supported,supported,supported,supported
*globals*,Math.max,supported,supported,supported,supported,supported,supported
*globals*,Math.min,supported,supported,supported,supported,supported,supported
*globals*,Math.pow,supported,supported,supported,supported,supported,supported
*globals*,Math.random,supported,supported,supported,supported,supported,supported
*globals*,Math.round,supported,supported,supported,supported,supported,supported
*globals*,Math.sign,supported,supported,supported,supported,supported,supported
*globals*,Math.sin,supported,supported,supported,supported,supported,supported
*globals*,Math.sinh,supported,supported,supported,supported,supported,supported
*globals*,Math.sqrt,supported,supported,supported,supported,supported,supported
*globals*,Math.tan,supported,supported,supported,supported,supported,supported
*globals*,Math.tanh,supported,supported,supported,supported,supported,supported
*globals*,Math.trunc,supported,supported,supported,supported,supported,supported
*globals*,MessageChannel,supported,supported,unsupported,supported,supported,supported
*globals*,MessageEvent,supported,supported,supported,supported,supported,supported
*globals*,MessagePort,supported,supported,unsupported,supported,supported,supported
*globals*,NaN,supported,supported,supported,supported,supported,supported
*globals*,Navigator,supported,supported,supported,unsupported,supported,unsupported
*globals*,Number,supported,supported,supported,supported,supported,supported
*globals*,Object,supported,supported,supported,supported,supported,supported
*globals*,Performance,supported,supported,supported,supported,supported,supported
*globals*,PerformanceEntry,supported,supported,supported,supported,supported,supported
*globals*,PerformanceMark,supported,supported,supported,supported,supported,supported
*globals*,PerformanceMeasure,supported,supported,supported,supported,supported,supported
*globals*,PerformanceObserver,supported,supported,supported,supported,unsupported,unsupported
*globals*,PerformanceObserverEntryList,supported,supported,supported,supported,unsupported,unsupported
*globals*,PerformanceResourceTiming,supported,supported,supported,supported,unsupported,unsupported
*globals*,Promise,supported,supported,supported,supported,supported,supported
*globals*,Proxy,supported,supported,supported,supported,supported,supported
*globals*,RangeError,supported,supported,supported,supported,supported,supported
*globals*,ReadableByteStreamController,supported,supported,supported,supported,supported,supported
*globals*,ReadableStream,supported,supported,supported,supported,supported,supported
*globals*,ReadableStreamBYOBReader,supported,supported,supported,supported,supported,supported
*globals*,ReadableStreamBYOBRequest,supported,supported,supported,supported,supported,supported
*globals*,ReadableStreamDefaultController,supported,supported,supported,supported,supported,supported
*globals*,ReadableStreamDefaultReader,supported,supported,supported,supported,supported,supported
*globals*,ReferenceError,supported,supported,supported,supported,supported,supported
*globals*,Reflect.*self*,supported,supported,supported,supported,supported,supported
*globals*,Reflect.apply,supported,supported,supported,supported,supported,supported
*globals*,Reflect.construct,supported,supported,supported,supported,supported,supported
*globals*,Reflect.defineProperty,supported,supported,supported,supported,supported,supported
*globals*,Reflect.deleteProperty,supported,supported,supported,supported,supported,supported
*globals*,Reflect.get,supported,supported,supported,supported,supported,supported
*globals*,Reflect.getOwnPropertyDescriptor,supported,supported,supported,supported,supported,supported
*globals*,Reflect.getPrototypeOf,supported,supported,supported,supported,supported,supported
*globals*,Reflect.has,supported,supported,supported,supported,supported,supported
*globals*,Reflect.isExtensible,supported,supported,supported,supported,supported,supported
*globals*,Reflect.ownKeys,supported,supported,supported,supported,supported,supported
*globals*,Reflect.preventExtensions,supported,supported,supported,supported,supported,supported
*globals*,Reflect.set,supported,supported,supported,supported,supported,supported
*globals*,Reflect.setPrototypeOf,supported,supported,supported,supported,supported,supported
*globals*,RegExp,supported,supported,supported,supported,supported,supported
*globals*,Request,supported,supported,supported,supported,supported,supported
*globals*,Response,supported,supported,supported,supported,supported,supported
