Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerUnenv
,,,22.14.0,4.5.1,1.2.0,2.2.8,d3cd504
*globals*,globalThis.global.Atomics,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.BigInt,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.BigInt64Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.BigUint64Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Blob,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Boolean,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.BroadcastChannel,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,globalThis.global.Buffer,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.ByteLengthQueuingStrategy,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.CompressionStream,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,globalThis.global.CountQueuingStrategy,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Crypto,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.CryptoKey,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.CustomEvent,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.DOMException,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.DataView,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Date,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.DecompressionStream,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,globalThis.global.Error,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.EvalError,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Event,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.EventTarget,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.File,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.FinalizationRegistry,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,globalThis.global.Float32Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Float64Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.FormData,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Function,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Headers,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Infinity,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Int16Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Int32Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Int8Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Intl,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Iterator,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.JSON,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Map,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Math,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.MessageChannel,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,globalThis.global.MessageEvent,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.MessagePort,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,globalThis.global.NaN,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Navigator,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,globalThis.global.Number,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Object,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Performance,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.PerformanceEntry,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.PerformanceMark,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.PerformanceMeasure,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.PerformanceObserver,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.PerformanceObserverEntryList,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.PerformanceResourceTiming,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Promise,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Proxy,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.RangeError,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.ReadableByteStreamController,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.ReadableStream,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.ReadableStreamBYOBReader,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.ReadableStreamBYOBRequest,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.ReadableStreamDefaultController,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.ReadableStreamDefaultReader,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.ReferenceError,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Reflect,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.RegExp,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Request,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Response,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Set,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.SharedArrayBuffer,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.String,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.SubtleCrypto,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Symbol,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.SyntaxError,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.TextDecoder,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.TextDecoderStream,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.TextEncoder,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.TextEncoderStream,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.TransformStream,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.TransformStreamDefaultController,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.TypeError,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.URIError,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.URL,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.URLSearchParams,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Uint16Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Uint32Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Uint8Array,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.Uint8ClampedArray,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.WeakMap,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.WeakRef,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,globalThis.global.WeakSet,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.WebAssembly,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.WebSocket,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.WritableStream,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.WritableStreamDefaultController,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.WritableStreamDefaultWriter,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.atob,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.btoa,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.clearImmediate,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.clearInterval,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.clearTimeout,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.console,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.crypto,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.decodeURI,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.decodeURIComponent,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.encodeURI,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.encodeURIComponent,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.escape,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.eval,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.fetch,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.global,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.globalThis,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.isFinite,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.isNaN,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.navigator,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.parseFloat,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.parseInt,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.performance,supported,supported,stub,supported,unsupported,unsupported
*globals*,globalThis.global.process,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.queueMicrotask,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.setImmediate,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.setInterval,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.setTimeout,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.structuredClone,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.undefined,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.global.unescape,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.globalThis.*self*,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.AbortController,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.AbortSignal,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.AggregateError,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.ArrayBuffer,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Atomics,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.BigInt,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.BigInt64Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.BigUint64Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Blob,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Boolean,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.BroadcastChannel,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,globalThis.globalThis.Buffer,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.globalThis.ByteLengthQueuingStrategy,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.CompressionStream,supported,supported,supported,unsupported,supported,supported
*globals*,globalThis.globalThis.CountQueuingStrategy,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Crypto,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.globalThis.CryptoKey,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.globalThis.CustomEvent,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.DOMException,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.DataView,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Date,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.DecompressionStream,supported,supported,supported,unsupported,supported,supported
*globals*,globalThis.globalThis.Error,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.EvalError,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Event,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.EventTarget,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.File,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.FinalizationRegistry,supported,supported,unsupported,supported,supported,supported
*globals*,globalThis.globalThis.Float32Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Float64Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.FormData,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Function,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Headers,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Infinity,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Int16Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Int32Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Int8Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Intl,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Iterator,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.JSON,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Map,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Math,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.MessageChannel,supported,supported,unsupported,supported,supported,supported
*globals*,globalThis.globalThis.MessageEvent,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.MessagePort,supported,supported,unsupported,supported,supported,supported
*globals*,globalThis.globalThis.NaN,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Navigator,supported,supported,supported,unsupported,supported,unsupported
*globals*,globalThis.globalThis.Number,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Object,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Performance,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.PerformanceEntry,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.PerformanceMark,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.PerformanceMeasure,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.PerformanceObserver,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.globalThis.PerformanceObserverEntryList,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.globalThis.PerformanceResourceTiming,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.globalThis.Promise,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Proxy,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.RangeError,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.ReadableByteStreamController,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.ReadableStream,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.ReadableStreamBYOBReader,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.ReadableStreamBYOBRequest,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.ReadableStreamDefaultController,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.ReadableStreamDefaultReader,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.ReferenceError,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Reflect,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.RegExp,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Request,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Response,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Set,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.SharedArrayBuffer,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.String,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.SubtleCrypto,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.globalThis.Symbol,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.SyntaxError,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.TextDecoder,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.TextDecoderStream,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.TextEncoder,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.TextEncoderStream,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.TransformStream,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.TransformStreamDefaultController,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.TypeError,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.URIError,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.URL,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.URLSearchParams,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.globalThis.Uint16Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Uint32Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Uint8Array,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.Uint8ClampedArray,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.WeakMap,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.WeakRef,supported,supported,unsupported,supported,supported,supported
*globals*,globalThis.globalThis.WeakSet,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.WebAssembly,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.WebSocket,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.globalThis.WritableStream,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.WritableStreamDefaultController,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.WritableStreamDefaultWriter,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.atob,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.btoa,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.clearImmediate,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.globalThis.clearInterval,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.clearTimeout,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.console,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.crypto,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.globalThis.decodeURI,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.decodeURIComponent,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.encodeURI,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.encodeURIComponent,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.escape,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.eval,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.fetch,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.global,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.globalThis.globalThis,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.isFinite,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.isNaN,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.navigator,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.globalThis.parseFloat,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.parseInt,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.performance,supported,supported,stub,supported,supported,supported
*globals*,globalThis.globalThis.process,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.globalThis.queueMicrotask,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.setImmediate,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.globalThis.setInterval,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.setTimeout,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.structuredClone,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.undefined,supported,supported,supported,supported,supported,supported
*globals*,globalThis.globalThis.unescape,supported,supported,supported,supported,supported,supported
*globals*,globalThis.isFinite,supported,supported,supported,supported,supported,supported
*globals*,globalThis.isNaN,supported,supported,supported,supported,supported,supported
*globals*,globalThis.navigator.*self*,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.navigator.hardwareConcurrency,supported,supported,unsupported,supported,supported,unsupported
*globals*,globalThis.navigator.language,supported,supported,unsupported,unsupported,supported,unsupported
*globals*,globalThis.navigator.languages,supported,supported,unsupported,unsupported,supported,unsupported
*globals*,globalThis.navigator.platform,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,globalThis.navigator.userAgent,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.parseFloat,supported,supported,supported,supported,supported,supported
*globals*,globalThis.parseInt,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.*self*,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.addEventListener,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.clearMarks,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.clearMeasures,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.clearResourceTimings,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.performance.dispatchEvent,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.eventLoopUtilization,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,globalThis.performance.getEntries,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.getEntriesByName,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.getEntriesByType,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.mark,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.markResourceTiming,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.performance.measure,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.nodeTiming,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,globalThis.performance.now,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.onresourcetimingbufferfull,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.performance.removeEventListener,supported,supported,supported,supported,supported,supported
*globals*,globalThis.performance.setResourceTimingBufferSize,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.performance.timeOrigin,supported,supported,supported,supported,supported,mismatch
*globals*,globalThis.performance.timerify,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,globalThis.performance.toJSON,supported,supported,supported,supported,supported,supported
*globals*,globalThis.process.*self*,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process._debugEnd,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._debugProcess,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._events,supported,supported,mismatch,unsupported,supported,unsupported
*globals*,globalThis.process._eventsCount,supported,supported,mismatch,unsupported,supported,unsupported
*globals*,globalThis.process._exiting,supported,supported,mismatch,supported,supported,unsupported
*globals*,globalThis.process._fatalException,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._getActiveHandles,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._getActiveRequests,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._kill,supported,supported,mismatch,supported,supported,unsupported
*globals*,globalThis.process._linkedBinding,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._maxListeners,supported,supported,supported,unsupported,supported,unsupported
*globals*,globalThis.process._preload_modules,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._rawDebug,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._startProfilerIdleNotifier,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._stopProfilerIdleNotifier,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process._tickCallback,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process.abort,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.addListener,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.allowedNodeEnvironmentFlags,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.arch,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.argv,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.argv0,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.assert,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.process.availableMemory,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.process.binding,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.chdir,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.config,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.constrainedMemory,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.process.cpuUsage,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.cwd,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.debugPort,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.process.dlopen,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.domain,supported,supported,mismatch,unsupported,unsupported,unsupported
*globals*,globalThis.process.emit,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.emitWarning,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.env,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.eventNames,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.execArgv,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.execPath,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.exit,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.exitCode,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.features,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.finalization,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,globalThis.process.getActiveResourcesInfo,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.process.getBuiltinModule,supported,supported,supported,unsupported,supported,unsupported
*globals*,globalThis.process.getMaxListeners,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.getegid,supported,supported,mismatch,supported,supported,unsupported
*globals*,globalThis.process.geteuid,supported,supported,mismatch,supported,supported,unsupported
*globals*,globalThis.process.getgid,supported,supported,mismatch,supported,supported,unsupported
*globals*,globalThis.process.getgroups,supported,supported,mismatch,supported,unsupported,unsupported
*globals*,globalThis.process.getuid,supported,supported,mismatch,supported,supported,unsupported
*globals*,globalThis.process.hasUncaughtExceptionCaptureCallback,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.process.hrtime,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.initgroups,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,globalThis.process.kill,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.listenerCount,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.listeners,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.loadEnvFile,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,globalThis.process.memoryUsage,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.moduleLoadList,supported,supported,supported,supported,unsupported,unsupported
*globals*,globalThis.process.nextTick,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.off,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.on,supported,supported,supported,supported,supported,unsupported
*globals*,globalThis.process.once,supported,supported,supported,supported,supported,unsupported
